Description,Assessment ,Risk likelyhood of occuring (1=low to 10=high),Impact (1- 10),Responsiblity ,Proposed Mitigration,Risk likelyhood of occuring (1 - 10),Impact (1- 10)
,,,,,,,
,,,,,,,
Docker,,,,,,,
Unsecured communication and unrestricted network traffic,"By default, in some versions of Docker, all network traffic is allowed between containers on the same host. This increases the risk of unintended and unwanted disclosure of information to other containers. Developers should only allow intercommunication that is necessary by linking specific containers. This will significantly reduce attack surfaces by restricting container access.",3,9,Jake Stone,"To protect confidentiality and integrity of all network traffic, communications with Docker registries should be encrypted through TLS security protocol.",1,9
Unrestricted access of process and files,An attacker who gains access to one container may have the capability to gain access to other containers or the host.,3,9,Jake Stone,"The access control best practice recommendations includes the principle of least privilege. The user namespace feature in Linux containers will allow developers to avoid root access by giving isolated containers separate user accounts, and mandate resource constraints, so users from one container do not have the capability to access other containers or exhaust all resources on the host.",3,9
Kernel level threats,Docker is designed to have all containers share the same kernel and the host. This provides convenience but also amplifies the impact of any vulnerabilities present in the kernel.,3,10,Jake Stone,"restrict applications that run on privileged ports besides the ones that are necessary (e.g. Apache server), since those ports have more access to the kernel.",1,10
Inconsistent update and patching of docker containers,Running an older version of Docker containers can expose internal IT environments to higher risks of breach,2,5,Jake Stone,a patching policy should be in place and enforced.,0,5
Unverified docker images,Downloading images that are from an unknown source can lead to malware running on the kernel. ,1,2,Jake Stone,download Docker images from trusted sources that are curated by the Docker community. Run vulnerability scans against those images before running them in the host environment.,1,2
,,,,,,,
Cloud Computing,,,,,,,
Executives must have oversight over the cloud,Need to be able to make business decisions based off data from the cloud provider ,9,2,Jake Stone,An oversight of the project is seen on github and progression of the project can be seen on Jira board. Over sight over the cloud can be seen on AWS can see how performance of computing resources is doing and can optimize based off data,9,0
Management must own the risks in the cloud,Knowing about the risks before developing is always a positive,7,6,Jake Stone,Learning about cloud at QA academy and cloud academy,7,1
All necessary staff must have knowledge of the cloud,"If working on something, a base level of compentence is always a help",4,6,Jake Stone,"I learn technologies of the cloud, which can be seen on Jira",4,1
Best practices must be followed in the cloud,"People that have came before have ran into problems while developing solutions to the cloud, they must have spent many a long night thinking arguing the comprimies between security and speed; authenticaion requirements and ease of use. After these long thoughts they have come up with a set of requirments that they think are the most appropriate, therefore  as these are the most competent people in this area these practices should be followed unless can be reasoned against",5,6,Jake Stone,AWS best sercurity practices read. Report to be written to show following of the AWS sercurity measures,5,1
data theft,People can get to the data in a variety of ways e.g. SQL injection,10,8,AWS ,The data is stored on the sql database on a AWS VM ,10,1
system compromise,The system can go down due to a range of technical problems,9,9,Jake Stone,"Use jenkins so if a container is to fail Jenkins, an continuous integration pipeline can restart a container",9,2
,,,,,,,
DataBase ,,,,,,,
Database Manipulation,,null,null,Jake Stone,,null,null
Database corruption,,null,null,Jake Stone,,null,null
Excessive privileges,,null,null,Jake Stone,,null,null
Legitimate privilege abuse,,null,null,Jake Stone,,null,null
Database injection attacks,,null,null,Jake Stone,,null,null
Malware,,null,null,Jake Stone,,null,null
Storage media exposure,,null,null,Jake Stone,,null,null
The human factor,,null,null,Jake Stone,,null,null
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Network ,,,,,,,
Network penetration,,null,null,Jake Stone,,null,null
Viruses and Worms,,null,null,Jake Stone,,null,null
Drive-by Download Attacks,,null,null,Jake Stone,,null,null
Botnets,,null,null,Jake Stone,,null,null
Phishing Attacks,,null,null,Jake Stone,,null,null
Exploit Kits,,null,null,Jake Stone,,null,null
DDoS (Distributed Denial of Service),,null,null,Jake Stone,,null,null
Ransomware,,null,null,Jake Stone,,null,null
Cryptojacking,,null,null,Jake Stone,,null,null
APT Threats,,null,null,Jake Stone,,null,null
